episode,evaluation_reward
1000,0.0
2000,2.0
3000,0.0
4000,1.0
5000,4.0
6000,2.0
7000,4.0
8000,5.0
9000,4.0
10000,2.0
11000,6.0
12000,3.0
13000,6.0
14000,4.0
15000,5.0
16000,5.0
17000,5.0
18000,5.0
19000,2.0
20000,6.0
21000,4.0
22000,4.0
23000,6.0
24000,5.0
25000,6.0
26000,8.0
27000,9.0
28000,9.0
29000,8.0
30000,7.0
31000,6.0
32000,5.0
33000,9.0
34000,7.0
35000,9.0
36000,8.0
37000,6.0
38000,7.0
39000,8.0
40000,7.0
41000,7.0
42000,8.0
43000,6.0
44000,8.0
45000,4.0
46000,5.0
47000,7.0
48000,10.0
49000,7.0
50000,8.0
51000,9.0
52000,9.0
53000,8.0
54000,9.0
55000,10.0
56000,12.0
57000,12.0
58000,8.0
59000,7.0
60000,7.0
61000,12.0
62000,12.0
63000,8.0
64000,7.0
65000,6.0
66000,7.0
67000,13.0
68000,8.0
69000,13.0
70000,9.0
71000,7.0
72000,11.0
73000,13.0
74000,9.0
75000,13.0
76000,6.0
77000,13.0
78000,13.0
79000,13.0
80000,11.0
81000,13.0
82000,12.0
83000,10.0
84000,11.0
85000,8.0
86000,6.0
87000,10.0
88000,7.0
89000,8.0
90000,6.0
91000,6.0
92000,8.0
93000,9.0
94000,7.0
95000,9.0
96000,9.0
97000,10.0
98000,9.0
99000,10.0
100000,8.0
