2024-12-26 14:13:45,128 - INFO - Episode 1/300000, Reward: 3.0, Loss: 0.0000, Epsilon: 1.000, end at: 46, eps/sec: 59.34, ETR: 84.27 min
2024-12-26 14:13:51,269 - INFO - Episode 101/300000, Reward: 6.0, Loss: 0.0121, Epsilon: 0.998, end at: 46, eps/sec: 16.40, ETR: 304.73 min
2024-12-26 14:13:58,131 - INFO - Episode 201/300000, Reward: 1.0, Loss: 0.0040, Epsilon: 0.997, end at: 46, eps/sec: 15.44, ETR: 323.66 min
2024-12-26 14:14:05,044 - INFO - Episode 301/300000, Reward: 3.0, Loss: 0.0057, Epsilon: 0.995, end at: 46, eps/sec: 15.10, ETR: 330.77 min
2024-12-26 14:14:12,120 - INFO - Episode 401/300000, Reward: 4.0, Loss: 0.0037, Epsilon: 0.993, end at: 46, eps/sec: 14.85, ETR: 336.32 min
2024-12-26 14:14:19,216 - INFO - Episode 501/300000, Reward: 5.0, Loss: 0.0019, Epsilon: 0.992, end at: 46, eps/sec: 14.69, ETR: 339.80 min
2024-12-26 14:14:26,321 - INFO - Episode 601/300000, Reward: 2.0, Loss: 0.0022, Epsilon: 0.990, end at: 46, eps/sec: 14.58, ETR: 342.16 min
2024-12-26 14:14:33,290 - INFO - Episode 701/300000, Reward: 5.0, Loss: 0.0023, Epsilon: 0.988, end at: 46, eps/sec: 14.55, ETR: 342.84 min
2024-12-26 14:14:40,357 - INFO - Episode 801/300000, Reward: 3.0, Loss: 0.0020, Epsilon: 0.987, end at: 46, eps/sec: 14.50, ETR: 343.93 min
2024-12-26 14:14:47,542 - INFO - Episode 901/300000, Reward: 5.0, Loss: 0.0018, Epsilon: 0.985, end at: 46, eps/sec: 14.43, ETR: 345.41 min
2024-12-26 14:14:54,870 - INFO - Episode 1001/300000, Reward: 5.0, Loss: 0.0023, Epsilon: 0.983, end at: 46, eps/sec: 14.35, ETR: 347.28 min
2024-12-26 14:15:02,029 - INFO - Episode 1101/300000, Reward: 5.0, Loss: 0.0018, Epsilon: 0.982, end at: 46, eps/sec: 14.31, ETR: 348.03 min
