phase,episode,reward,positions
training,1,9.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, -1, 0), (0, -2, 0), (0, -2, 1), (0, -2, 2), (0, -3, 2), (0, -3, 1), (1, -3, 1), (1, -4, 1), (0, -4, 1), (0, -5, 1), (0, -6, 1), (-1, -6, 1), (-1, -7, 1), (-2, -7, 1), (-2, -7, 2), (-2, -8, 2), (-2, -8, 1), (-2, -9, 1), (-1, -9, 1), (-1, -9, 0), (0, -9, 0), (0, -9, -1), (0, -9, -2), (0, -9, -3), (-1, -9, -3), (-1, -9, -4), (-1, -8, -4), (-1, -8, -5), (0, -8, -5), (0, -9, -5), (1, -9, -5), (2, -9, -5), (3, -9, -5), (4, -9, -5), (4, -8, -5), (4, -7, -5), (4, -7, -4), (4, -7, -3), (3, -7, -3), (3, -6, -3), (3, -6, -4), (3, -6, -5), (3, -7, -5), (3, -7, -4), (2, -7, -4), (2, -8, -4), (3, -8, -4), (3, -8, -3), (2, -8, -3), (2, -7, -3), (2, -7, -2), (1, -7, -2), (1, -7, -1), (1, -7, 0), (1, -7, 1)]"
training,3,12.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (2, -1, 1), (2, -1, 2), (3, -1, 2), (3, -1, 3), (3, -2, 3), (3, -3, 3), (3, -3, 4), (3, -4, 4), (3, -4, 5), (2, -4, 5), (1, -4, 5), (1, -3, 5), (1, -3, 6), (1, -3, 7), (1, -2, 7), (2, -2, 7), (2, -2, 6), (3, -2, 6), (4, -2, 6), (4, -2, 5), (3, -2, 5), (3, -2, 4), (2, -2, 4), (2, -2, 5), (2, -3, 5), (2, -3, 4), (2, -3, 3), (2, -2, 3), (2, -1, 3), (2, 0, 3), (2, 0, 2), (3, 0, 2), (3, 0, 3), (3, 1, 3), (2, 1, 3), (2, 2, 3), (2, 2, 4), (3, 2, 4), (3, 2, 5), (3, 3, 5), (3, 3, 6), (3, 3, 7), (2, 3, 7), (1, 3, 7), (1, 3, 8), (1, 2, 8), (1, 2, 9), (2, 2, 9), (3, 2, 9), (3, 3, 9), (3, 3, 8), (2, 3, 8), (2, 3, 9), (2, 4, 9), (2, 4, 10), (2, 3, 10)]"
training,5,12.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (-1, -1, 1), (-1, -1, 0), (-1, 0, 0), (-1, 1, 0), (-1, 1, -1), (0, 1, -1), (0, 1, -2), (0, 2, -2), (0, 3, -2), (1, 3, -2), (1, 2, -2), (1, 2, -1), (1, 1, -1), (1, 1, -2), (1, 1, -3), (1, 0, -3), (1, 0, -4), (1, 0, -5), (2, 0, -5), (2, 1, -5), (1, 1, -5), (1, 2, -5), (0, 2, -5), (0, 1, -5), (0, 1, -6), (1, 1, -6), (1, 2, -6), (2, 2, -6), (3, 2, -6), (3, 2, -5), (2, 2, -5), (2, 3, -5), (2, 4, -5), (1, 4, -5), (1, 5, -5), (0, 5, -5), (0, 5, -4), (-1, 5, -4), (-1, 5, -5), (-1, 4, -5), (-1, 4, -4), (-2, 4, -4), (-2, 4, -3), (-1, 4, -3), (-1, 5, -3), (-1, 5, -2), (-2, 5, -2), (-2, 5, -3), (-2, 6, -3), (-2, 7, -3), (-2, 7, -4), (-3, 7, -4), (-3, 8, -4), (-2, 8, -4), (-2, 9, -4)]"
training,13,13.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (2, -1, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0), (3, 2, 0), (3, 2, 1), (3, 1, 1), (3, 1, 0), (4, 1, 0), (4, 1, -1), (4, 0, -1), (4, 0, -2), (3, 0, -2), (3, 1, -2), (2, 1, -2), (2, 2, -2), (2, 2, -1), (2, 1, -1), (3, 1, -1), (3, 2, -1), (3, 3, -1), (3, 4, -1), (3, 5, -1), (3, 6, -1), (3, 6, 0), (4, 6, 0), (4, 5, 0), (4, 4, 0), (5, 4, 0), (5, 5, 0), (5, 6, 0), (5, 6, -1), (6, 6, -1), (6, 6, 0), (7, 6, 0), (8, 6, 0), (8, 7, 0), (7, 7, 0), (6, 7, 0), (6, 7, -1), (6, 7, -2), (6, 7, -3), (5, 7, -3), (5, 8, -3), (6, 8, -3), (6, 9, -3), (5, 9, -3), (5, 9, -4), (5, 8, -4), (5, 7, -4), (5, 6, -4), (5, 5, -4), (5, 5, -3), (5, 6, -3), (6, 6, -3), (7, 6, -3), (8, 6, -3)]"
training,15,14.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -2, 0), (0, -2, 0), (-1, -2, 0), (-1, -1, 0), (-1, 0, 0), (-1, 0, 1), (0, 0, 1), (0, -1, 1), (-1, -1, 1), (-1, -1, 2), (0, -1, 2), (0, -1, 3), (-1, -1, 3), (-1, -1, 4), (-1, -1, 5), (-1, 0, 5), (-1, 0, 6), (-1, 0, 7), (-1, 1, 7), (-1, 1, 6), (0, 1, 6), (0, 1, 5), (0, 2, 5), (-1, 2, 5), (-1, 3, 5), (-1, 3, 4), (-2, 3, 4), (-2, 2, 4), (-2, 2, 3), (-1, 2, 3), (-1, 2, 4), (0, 2, 4), (0, 3, 4), (0, 3, 3), (-1, 3, 3), (-1, 4, 3), (-1, 4, 4), (0, 4, 4), (0, 5, 4), (1, 5, 4), (1, 5, 3), (1, 6, 3), (1, 7, 3), (1, 7, 4), (0, 7, 4), (0, 6, 4), (0, 6, 3), (-1, 6, 3), (-1, 6, 4), (-2, 6, 4), (-2, 7, 4), (-2, 8, 4), (-2, 9, 4), (-2, 10, 4), (-3, 10, 4), (-3, 11, 4), (-4, 11, 4)]"
training,24,20.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (3, 0, 0), (4, 0, 0), (4, -1, 0), (5, -1, 0), (5, -1, 1), (6, -1, 1), (6, -1, 2), (6, -1, 3), (6, 0, 3), (7, 0, 3), (7, 0, 2), (7, -1, 2), (7, -1, 1), (7, -2, 1), (8, -2, 1), (8, -3, 1), (8, -4, 1), (7, -4, 1), (7, -3, 1), (6, -3, 1), (6, -3, 0), (7, -3, 0), (7, -4, 0), (7, -5, 0), (7, -5, -1), (7, -4, -1), (7, -3, -1), (6, -3, -1), (6, -3, -2), (5, -3, -2), (5, -3, -1), (5, -2, -1), (6, -2, -1), (6, -1, -1), (6, -1, 0), (6, -2, 0), (5, -2, 0), (5, -2, 1), (5, -3, 1), (5, -3, 0), (4, -3, 0), (4, -3, -1), (3, -3, -1), (3, -2, -1), (3, -1, -1), (2, -1, -1), (2, -1, 0), (2, -1, 1), (2, 0, 1), (3, 0, 1), (4, 0, 1), (4, 1, 1), (4, 1, 0), (4, 1, -1), (3, 1, -1), (2, 1, -1), (1, 1, -1)]"
training,67,24.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (1, -1, 1), (1, -2, 1), (1, -2, 2), (1, -2, 3), (1, -3, 3), (1, -3, 2), (1, -3, 1), (1, -4, 1), (1, -4, 0), (2, -4, 0), (2, -4, 1), (2, -4, 2), (3, -4, 2), (3, -3, 2), (3, -3, 3), (2, -3, 3), (2, -3, 2), (2, -3, 1), (2, -2, 1), (2, -2, 2), (3, -2, 2), (3, -2, 1), (3, -3, 1), (4, -3, 1), (4, -2, 1), (4, -2, 2), (4, -2, 3), (5, -2, 3), (5, -3, 3), (5, -3, 4), (5, -2, 4), (4, -2, 4), (3, -2, 4), (3, -3, 4), (3, -3, 5), (3, -2, 5), (2, -2, 5), (2, -2, 4), (2, -2, 3), (3, -2, 3), (3, -1, 3), (3, -1, 2), (3, -1, 1), (2, -1, 1), (2, -1, 2), (2, -1, 3), (1, -1, 3), (0, -1, 3), (0, -1, 4), (1, -1, 4), (1, 0, 4), (1, 0, 5), (1, 0, 6), (1, 0, 7), (1, -1, 7), (1, -2, 7), (1, -2, 8)]"
training,355,25.0,"[(0, 0, 0), (1, 0, 0), (1, -1, 0), (0, -1, 0), (0, -1, 1), (1, -1, 1), (1, -1, 2), (1, -1, 3), (0, -1, 3), (0, -1, 2), (0, -2, 2), (1, -2, 2), (2, -2, 2), (2, -2, 1), (3, -2, 1), (3, -3, 1), (4, -3, 1), (4, -3, 2), (4, -2, 2), (3, -2, 2), (3, -3, 2), (3, -3, 3), (3, -3, 4), (3, -2, 4), (2, -2, 4), (1, -2, 4), (1, -2, 3), (0, -2, 3), (0, -3, 3), (1, -3, 3), (2, -3, 3), (2, -4, 3), (3, -4, 3), (4, -4, 3), (4, -3, 3), (4, -2, 3), (3, -2, 3), (2, -2, 3), (2, -1, 3), (3, -1, 3), (4, -1, 3), (5, -1, 3), (5, -2, 3), (5, -3, 3), (5, -4, 3), (5, -4, 2), (4, -4, 2), (4, -4, 1), (4, -5, 1), (5, -5, 1), (5, -5, 0), (4, -5, 0), (3, -5, 0), (2, -5, 0), (1, -5, 0), (1, -5, -1), (2, -5, -1), (2, -5, -2), (1, -5, -2), (0, -5, -2)]"
training,1504,25.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (2, -1, 1), (2, -2, 1), (2, -2, 0), (1, -2, 0), (1, -1, 0), (1, -1, 1), (0, -1, 1), (0, -2, 1), (0, -2, 0), (0, -1, 0), (0, -1, -1), (0, 0, -1), (0, 0, -2), (1, 0, -2), (1, -1, -2), (1, -1, -1), (1, -2, -1), (2, -2, -1), (2, -1, -1), (3, -1, -1), (4, -1, -1), (4, 0, -1), (4, 1, -1), (3, 1, -1), (3, 1, 0), (3, 1, 1), (3, 0, 1), (3, 0, 0), (4, 0, 0), (5, 0, 0), (6, 0, 0), (6, 0, -1), (5, 0, -1), (5, -1, -1), (5, -1, 0), (5, -2, 0), (6, -2, 0), (7, -2, 0), (7, -2, 1), (6, -2, 1), (6, -1, 1), (6, 0, 1), (6, 1, 1), (6, 2, 1), (6, 2, 0), (6, 2, -1), (6, 1, -1), (6, 1, 0), (5, 1, 0), (5, 1, -1), (5, 1, -2), (4, 1, -2), (3, 1, -2), (3, 2, -2), (3, 3, -2), (3, 3, -3)]"
training,2129,27.0,"[(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, -1, 0), (2, -2, 0), (1, -2, 0), (1, -2, 1), (1, -1, 1), (1, -1, 0), (1, -1, -1), (1, -2, -1), (1, -3, -1), (1, -3, 0), (1, -3, 1), (1, -3, 2), (1, -3, 3), (2, -3, 3), (2, -2, 3), (2, -2, 2), (2, -1, 2), (2, 0, 2), (1, 0, 2), (1, 0, 3), (2, 0, 3), (2, -1, 3), (3, -1, 3), (4, -1, 3), (5, -1, 3), (5, 0, 3), (5, 0, 4), (4, 0, 4), (4, -1, 4), (4, -2, 4), (4, -2, 3), (3, -2, 3), (3, -2, 2), (3, -1, 2), (3, -1, 1), (3, -2, 1), (2, -2, 1), (2, -1, 1), (2, 0, 1), (3, 0, 1), (3, 0, 0), (4, 0, 0), (5, 0, 0), (5, -1, 0), (5, -1, 1), (5, 0, 1), (5, 0, 2), (5, -1, 2), (6, -1, 2), (6, -1, 3), (6, -1, 4), (6, -1, 5), (6, 0, 5), (6, 0, 4), (6, 0, 3), (6, 0, 2), (7, 0, 2)]"
